  Element 13: Al      Atomic mass:   26.9815

  Edge          keV         A
    K         1.5596    7.9497

Scattering factors as a function of energy: 

   1000.000      -1.464256      0.7055072    
   1100.000      -1.636724      0.6034460    
   1200.000      -1.852103      0.5223654    
   1300.000      -2.145880      0.4568041    
   1400.000      -2.610600      0.4030391    
   1462.000      -3.109362      0.3744801    
   1467.000      -3.164359      0.3723125    
   1472.000      -3.222728      0.3701641    
   1477.000      -3.284874      0.3680345    
   1482.000      -3.351279      0.3659235    
   1487.000      -3.422522      0.3638309    
   1492.000      -3.499303      0.3617565    
   1497.000      -3.582489      0.3597000    
   1500.000      -3.635914      0.3584747    
   1502.000      -3.673161      0.3576613    
   1507.000      -3.772693      0.3556402    
   1512.000      -3.882877      0.3536364    
   1517.000      -4.006099      0.3516497    
   1522.000      -4.145643      0.3496800    
   1527.000      -4.306202      0.3477270    
   1532.000      -4.494831      0.3457905    
   1537.000      -4.722840      0.3438705    
   1542.000      -5.010128      0.3419665    
   1547.000      -5.396877      0.3400786    
   1552.000      -5.986352      0.3382064    
   1557.000      -7.247778      0.3363499    
   1562.000      -7.329710       4.071402    
   1567.000      -5.978118       4.069197    
   1572.000      -5.351511       4.066619    
   1577.000      -4.935689       4.063672    
   1582.000      -4.622150       4.060359    
   1587.000      -4.369208       4.056684    
   1592.000      -4.156385       4.052651    
   1597.000      -3.972092       4.048265    
   1600.000      -3.872102       4.045465    
   1602.000      -3.809134       4.043530    
   1607.000      -3.662735       4.038449    
   1612.000      -3.529566       4.033026    
   1617.000      -3.407213       4.027267    
   1622.000      -3.293871       4.021175    
   1627.000      -3.188155       4.014755    
   1632.000      -3.088982       4.008011    
   1637.000      -2.995477       4.000948    
   1642.000      -2.906960       3.993570    
   1647.000      -2.822837       3.985882    
   1652.000      -2.742635       3.977887    
   1657.000      -2.665952       3.969592    
   1700.000      -2.113099       3.886497    
   1800.000      -1.233268       3.625145    
   1900.000     -0.6498905       3.298324    
   2000.000     -0.2554404       2.938935    
   2100.000     -0.3087494       2.681528    
   2200.000     -0.1502949       2.486950    
   2300.000     -3.2166634E-02   2.313897    
   2400.000      6.0518224E-02   2.159141    
   2500.000      0.1328889       2.020114    
   2600.000      0.1899576       1.894699    
   2700.000      0.2353782       1.781130    
   2800.000      0.2719911       1.677923    
   2900.000      0.3024116       1.583822    
   3000.000      0.3310120       1.497762    
   3100.000      0.3489627       1.416397    
   3200.000      0.3622159       1.341432    
   3300.000      0.3723891       1.272234    
   3400.000      0.3798007       1.208213    
   3500.000      0.3849384       1.148861    
   3600.000      0.3881985       1.093732    
   3700.000      0.3899054       1.042433    
   3800.000      0.3903256      0.9946151    
   3900.000      0.3896300      0.9499692    
   4000.000      0.3880987      0.9082196    
   4100.000      0.3858376      0.8691200    
   4200.000      0.3829741      0.8324502    
   4300.000      0.3796155      0.7980123    
   4400.000      0.3758518      0.7656287    
   4500.000      0.3717589      0.7351390    
   4600.000      0.3674012      0.7063981    
   4700.000      0.3628328      0.6792747    
   4800.000      0.3580999      0.6536497    
   4900.000      0.3532416      0.6294150    
   5000.000      0.3482908      0.6064718    
   5100.000      0.3432757      0.5847301    
   5200.000      0.3382203      0.5641076    
   5300.000      0.3331446      0.5445290    
   5400.000      0.3280660      0.5259252    
   5500.000      0.3229988      0.5082328    
   5600.000      0.3179553      0.4913935    
   5700.000      0.3129458      0.4753535    
   5800.000      0.3079790      0.4600631    
   5900.000      0.3030620      0.4454768    
   6000.000      0.2982007      0.4315521    
   6100.000      0.2934002      0.4182499    
   6200.000      0.2886643      0.4055339    
   6300.000      0.2839964      0.3933701    
   6400.000      0.2793988      0.3817275    
   6500.000      0.2748737      0.3705769    
   6600.000      0.2704223      0.3598911    
   6700.000      0.2660457      0.3496450    
   6800.000      0.2594559      0.3398572    
   6900.000      0.2552439      0.3305207    
   7000.000      0.2511114      0.3215541    
   7100.000      0.2470576      0.3129384    
   7200.000      0.2430820      0.3046555    
   7300.000      0.2391838      0.2966885    
   7400.000      0.2353619      0.2890217    
   7500.000      0.2316153      0.2816404    
   7600.000      0.2279431      0.2745304    
   7700.000      0.2243439      0.2676789    
   7800.000      0.2208165      0.2610734    
   7900.000      0.2173596      0.2547024    
   8000.000      0.2139720      0.2485551    
   8100.000      0.2106524      0.2426211    
   8200.000      0.2073992      0.2368909    
   8300.000      0.2042113      0.2313550    
   8400.000      0.2010873      0.2260051    
   8500.000      0.1980257      0.2208328    
   8600.000      0.1950253      0.2158305    
   8700.000      0.1920848      0.2109910    
   8800.000      0.1892027      0.2063071    
   8900.000      0.1863778      0.2017725    
   9000.000      0.1835929      0.1974033    
   9100.000      0.1808642      0.1931714    
   9200.000      0.1781904      0.1890711    
   9300.000      0.1755701      0.1850970    
   9400.000      0.1730022      0.1812440    
   9500.000      0.1704852      0.1775073    
   9600.000      0.1680181      0.1738822    
   9700.000      0.1655996      0.1703644    
   9800.000      0.1632286      0.1669498    
   9900.000      0.1609039      0.1636343    
   10000.00      0.1586244      0.1604141    
   10100.00      0.1563890      0.1572857    
   10200.00      0.1541966      0.1542457    
   10300.00      0.1520462      0.1512907    
   10400.00      0.1499369      0.1484177    
   10500.00      0.1478676      0.1456236    
   10600.00      0.1458374      0.1429056    
   10700.00      0.1438453      0.1402611    
   10800.00      0.1418904      0.1376873    
